name,bundleId,genre
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
PlantApp,com.scaleup.plantid,1
,com.intsig.CamScannerLite,1
HiWidget,com.zerone.hidesktop,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
FELFishEyeLens,com.phantom.fantengmu,1
,com.intsig.CamScannerLite,1
NBv61249,nt.nb.ios,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
NullsBrawl,nt.nb.ios,1
,com.intsig.CamScannerLite,1
ParkingJam3D,com.uqxuwtxbbu.parkingjam,2
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Calculator,com.incpt.mobis.CalculatorInfinite,1
iSTB,com.na.istb,1
,com.intsig.CamScannerLite,1
KeyLifts,org.borrowedcache.ultimate531,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
CashInc,com.alegrium.cong2,2
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Swiftgram,app.swiftgram.ios,1
,com.intsig.CamScannerLite,1
PeakVisor,ru.routes.peakvisor,1
,com.intsig.CamScannerLite,1
TerrariumGardenIdle,sk.phx.terrarium,2
,com.intsig.CamScannerLite,1
Brite,io.konveier.timo,1
,com.intsig.CamScannerLite,1
Liftoff,com.gymbros.app,1
,com.intsig.CamScannerLite,1
OffScreen,tech.miidii.off-screen,1
,com.intsig.CamScannerLite,1
PhotoSwipe,com.app.gallerycleaner,1
POV,com.SixThree.POV,1
,com.intsig.CamScannerLite,1
Breathwrk,com.breathwrk.ios,1
,com.intsig.CamScannerLite,1
Artistai,com.livintis.aiartapp,1
,com.intsig.CamScannerLite,1
PeekWeather,com.indiegoodies.Weather2,1
,com.intsig.CamScannerLite,1
DarkNoise,com.charliemchapman.dark-noise,1
,com.intsig.CamScannerLite,1
Remember,io.rmmbr.remember,1
,com.intsig.CamScannerLite,1
Carbon,rr.carbon,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Habits,com.dreamer.Habits,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
UpNote,com.getupnote.ios,1
,com.intsig.CamScannerLite,1
EeveeSpotify,com.spotify.client,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
RenovateAI,app.renovateai,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
JSCodePad,com.markodevcic.js-code-pad,1
SimplePi,me.hirmer.SimplePi.free,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
MacroFactor,com.sbs.diet,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Flow,design.yugen.Flow,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
